repetition,strategy_index,strategy,accuracy,queries_used,iterations,accuracy_per_question
2.0,11.0,S_DC,0.64,14.0,9.0,0.045714285714285714
2.0,12.0,S_NDC,0.42,8.0,3.0,0.0525
3.0,0.0,random,0.5,11.0,6.0,0.045454545454545456
3.0,1.0,S_E,0.5,11.0,6.0,0.045454545454545456
3.0,2.0,S_NE,0.48,9.0,4.0,0.05333333333333333
3.0,3.0,S_W,0.48,10.0,5.0,0.048
3.0,4.0,S_NW,0.5,12.0,7.0,0.041666666666666664
3.0,5.0,S_B,0.56,14.0,9.0,0.04
3.0,6.0,S_NB,0.58,12.0,7.0,0.04833333333333333
3.0,7.0,S_EIG,0.4,11.0,6.0,0.03636363636363637
3.0,8.0,S_NEIG,0.56,11.0,6.0,0.05090909090909091
3.0,9.0,S_DU,0.46,11.0,6.0,0.04181818181818182
3.0,10.0,S_NDU,0.44,13.0,8.0,0.033846153846153845
3.0,11.0,S_DC,0.46,11.0,6.0,0.04181818181818182
3.0,12.0,S_NDC,0.56,12.0,7.0,0.04666666666666667
4.0,0.0,random,0.7,9.0,4.0,0.07777777777777778
4.0,1.0,S_E,0.64,11.0,6.0,0.05818181818181818
4.0,2.0,S_NE,0.74,11.0,6.0,0.06727272727272728
4.0,3.0,S_W,0.74,11.0,6.0,0.06727272727272728
4.0,4.0,S_NW,0.62,8.0,3.0,0.0775
4.0,5.0,S_B,0.66,11.0,6.0,0.060000000000000005
4.0,6.0,S_NB,0.74,10.0,5.0,0.074
4.0,7.0,S_EIG,0.54,11.0,6.0,0.049090909090909095
4.0,8.0,S_NEIG,0.56,8.0,3.0,0.07
4.0,9.0,S_DU,0.6,8.0,3.0,0.075
4.0,10.0,S_NDU,0.66,13.0,8.0,0.050769230769230775
4.0,11.0,S_DC,0.56,8.0,3.0,0.07
4.0,12.0,S_NDC,0.7,15.0,10.0,0.04666666666666666
5.0,0.0,random,0.6,9.0,4.0,0.06666666666666667
5.0,1.0,S_E,0.54,11.0,6.0,0.049090909090909095
5.0,2.0,S_NE,0.62,9.0,4.0,0.06888888888888889
5.0,3.0,S_W,0.58,13.0,8.0,0.04461538461538461
5.0,4.0,S_NW,0.46,11.0,6.0,0.04181818181818182
5.0,5.0,S_B,0.58,10.0,5.0,0.057999999999999996
5.0,6.0,S_NB,0.42,9.0,4.0,0.04666666666666666
5.0,7.0,S_EIG,0.56,10.0,5.0,0.05600000000000001
5.0,8.0,S_NEIG,0.76,9.0,4.0,0.08444444444444445
5.0,9.0,S_DU,0.52,8.0,3.0,0.065
5.0,10.0,S_NDU,0.64,14.0,9.0,0.045714285714285714
5.0,11.0,S_DC,0.6,10.0,5.0,0.06
5.0,12.0,S_NDC,0.68,14.0,9.0,0.04857142857142858
6.0,0.0,random,0.56,11.0,6.0,0.05090909090909091
6.0,1.0,S_E,0.58,9.0,4.0,0.06444444444444444
6.0,2.0,S_NE,0.62,15.0,10.0,0.04133333333333333
6.0,3.0,S_W,0.6,10.0,5.0,0.06
6.0,4.0,S_NW,0.52,8.0,3.0,0.065
6.0,5.0,S_B,0.44,11.0,6.0,0.04
6.0,6.0,S_NB,0.68,13.0,8.0,0.05230769230769231
6.0,7.0,S_EIG,0.46,9.0,4.0,0.051111111111111114
6.0,8.0,S_NEIG,0.54,8.0,3.0,0.0675
6.0,9.0,S_DU,0.56,8.0,3.0,0.07
6.0,10.0,S_NDU,0.46,10.0,5.0,0.046
6.0,11.0,S_DC,0.62,11.0,6.0,0.056363636363636366
6.0,12.0,S_NDC,0.5,12.0,7.0,0.041666666666666664
7.0,0.0,random,0.48,11.0,6.0,0.04363636363636363
7.0,1.0,S_E,0.46,8.0,3.0,0.0575
7.0,2.0,S_NE,0.46,8.0,3.0,0.0575
7.0,3.0,S_W,0.5,10.0,5.0,0.05
7.0,4.0,S_NW,0.46,8.0,3.0,0.0575
7.0,5.0,S_B,0.42,8.0,3.0,0.0525
7.0,6.0,S_NB,0.5,11.0,6.0,0.045454545454545456
